ID,Title,Difficulty,Solved?,推荐指数,击败,Tags
241,241. Different Ways to Add Parentheses,Medium,Yes,⭐⭐⭐⭐,99.79,Divide and Conquer
260,260. Single Number III,Medium,Yes,⭐⭐⭐⭐,98.81,Bit Manipulation
262,262. Trips and Users,Hard,Yes,⭐⭐,88.96,SQL
264,264. Ugly Number II,Medium,Yes,⭐⭐⭐⭐,51.63,"DP, Heap, Math"
1584,1584. Min Cost to Connect All Points,Medium,Yes,⭐⭐⭐⭐,90.43,Union Find
295,295. Find Median from Data Stream,Hard,Yes,⭐⭐⭐⭐,77.66,"Design, Heap"
299,299. Bulls and Cows,Medium,Yes,⭐⭐⭐,29.18,Hash Table
300,300. Longest Increasing Subsequence,Medium,Yes,⭐⭐⭐⭐,76.16,"Binary Search, DP"
297,297. Serialize and Deserialize Binary Tree,Hard,Yes,⭐⭐⭐⭐,83.27,"Design, Tree"
273,273. Integer to English Words,Hard,Yes,⭐⭐⭐⭐,66.95,"Math, String"
274,274. H-Index,Medium,Yes,⭐⭐⭐⭐,87.71,"Binary Search, Hash Table, Sort"
275,275. H-Index II,Medium,Yes,⭐⭐⭐,99.68,Binary Search
279,279. Perfect Squares,Medium,Yes,⭐⭐⭐,64.65,"BFS, DP, Math"
282,282. Expression Add Operators,Hard,Yes,⭐⭐⭐⭐,77.8,"Backtracking, Divide and Conquer"
284,284. Peeking Iterator,Medium,Yes,⭐⭐⭐,84.39,Design
287,287. Find the Duplicate Number,Medium,Yes,⭐⭐⭐⭐,71.21,"Array, Binary Search, Two Pointers"
289,289. Game of Life,Medium,Yes,⭐⭐⭐,72.18,Array
230,230. Kth Smallest Element in a BST,Medium,Yes,⭐⭐⭐,79.75,"Binary Search, Tree"
233,233. Number of Digit One,Hard,Yes,⭐⭐⭐⭐,37.5,Math
236,236. Lowest Common Ancestor of a Binary Tree,Medium,Yes,⭐⭐⭐⭐,94.26,Tree
238,238. Product of Array Except Self,Medium,Yes,⭐⭐⭐,30.78,Array
239,239. Sliding Window Maximum,Hard,Yes,⭐⭐⭐⭐,57.56,"Heap, Sliding Window"
229,229. Majority Element II,Medium,Yes,⭐⭐⭐,96.98,Array
227,227. Basic Calculator II,Medium,Yes,⭐⭐⭐⭐,99.28,String
223,223. Rectangle Area,Medium,Yes,⭐⭐,84.08,Math
222,222. Count Complete Tree Nodes,Medium,Yes,⭐⭐⭐,94.83,"Binary Search, Tree"
221,221. Maximal Square,Medium,Yes,⭐⭐⭐⭐,21,DP
220,220. Contains Duplicate III,Medium,Yes,⭐⭐⭐⭐,53.41,"Ordered Map, Sliding Window, Sort"
211,211. Design Add and Search Words Data Structure,Medium,Yes,⭐⭐⭐,7.63,"Backtracking, Design, Trie"
212,212. Word Search II,Hard,Yes,⭐⭐⭐⭐,99.23,"Backtracking, Trie"
213,213. House Robber II,Medium,Yes,⭐⭐⭐⭐,82.16,DP
218,218. The Skyline Problem,Hard,No,,,
214,214. Shortest Palindrome,Hard,Yes,⭐⭐⭐⭐⭐,32.5,"KMP, String"
215,215. Kth Largest Element in an Array,Medium,Yes,⭐⭐⭐⭐,94.81,"Divide and Conquer, Heap"
216,216. Combination Sum III,Medium,Yes,⭐⭐⭐,69.61,"Array, Backtracking"
302,302. Smallest Rectangle Enclosing Black Pixels,Hard,Yes,,,
